schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
MERTHYRRISING;\n\nSome days ago riots started in the town of Merthyr Tydfil, north of Cardiff, and today there are already reports of it expanding into all Wales, being an all-out rebellion. It's the first time a red flag is seen in a workers' revolt, being a symbol of the workers. They protest against the lowering of their wages and general unemployment, and among the shouts were cries of "Caws a bara" (cheese and bread), "Annibyniaeth" (independence) and "I lawr gyda'r Brenin" (down with the king), being a clear threat to the monarchy. Do we give them more rights or we protect the monarchy?;;;;;;;;;;;;;
NEWYORKSECONDFIRE;\n\nOn a night in 1835, a fire broke out in a five-story warehouse at 25 Merchant Street, at the intersection of Hanover Street. As it spread, gale-force winds blowing from the northwest towards the East River spread the fire. It could be seen from Philadelphia, approximately 80 miles away. At the time of the fire, major water sources were frozen in temperatures as low as -17°F, forcing the firefighters to drill holes to access liquid water, which later refroze around the houses and pipes. Efforts were made to deprive the fire of fuel by demolishing surrounding buildings, but there was insufficient gunpowder. Later in the next evening, a detachment of U.S. Marines returned with gunpowder and stopped the fire. During the day and a half that it burned, the fire killed 2 civilians and in total destroyed 660 buildings, resulting in property damage estimated between 20-25 million. How much shall we invest for the reconstruction of New York?;;;;;;;;;;;;;
EVTOPTA127846;Fully fund reconstruction efforts.;;;;;;;;;;;;;
EVTOPTB127846;Send the minimum amount to help.;;;;;;;;;;;;;
EVTOPTC127846;We can't afford anything right now.;;;;;;;;;;;;;
HAMBACHFEST1;\n\nNews has reached us that a supposedly nonpolitical country fair celebrated at Hambach Castle, near Neustadt der Weinstraße in the Palatinate turned into a demonstration in support of German unity. Provoked by liberal intellectuals, they established democratic associations which collide with our reactionary policies. In the crowd shouts could be heard while thousands held up their hands: \n"Wir wollen sein ein einzig Volk von Bruedern, In keiner Noth uns trennen und Gefahr" (We swear to be a nation of true brothers, never to part in danger and in death) and "Wir wollen frei sein wie die Vaeter waren, Eher den Tod, als in der Knechtechaft leben." (We swear we will be free as were our sires, and sooner die than live in slavery). The news are already expanding to nearby towns, and similar "nonpolitical county fairs" are starting to be planned in other parts of the Palatinate, expanding Pan-German ideas to the population, being a threat to our independence and our policies in the topic. Do we silence the news or let the Pan-German ideas expand to bordering regions?;;;;;;;;;;;;;
EVTOPTA127847;German unification wouldn't be that bad...;;;;;;;;;;;;;
EVTOPTB127847;Silence the news.;;;;;;;;;;;;;
HAMBACHFEST2;\n\nA week ago, a supposedly nonpolitical country fair celebrated at Hambach Castle, near Neustadt der Weinstraße in the Bavarian Palatinate turned into a demonstration in support of German unity. Provoked by liberal intellectuals, they established democratic associations which collided with Bavaria's reactionary policies. In the crowd shouts could be heard while thousands held up their hands: \n"Wir wollen sein ein einzig Volk von Bruedern, In keiner Noth uns trennen und Gefahr" (We swear to be a nation of true brothers, never to part in danger and in death) and "Wir wollen frei sein wie die Vaeter waren, Eher den Tod, als in der Knechtechaft leben." (We swear we will be free as were our sires, and sooner die than live in slavery). The news are already expanding to nearby towns, and similar "nonpolitical county fairs" are starting to be planned in other parts of the Palatinate. Bavaria has let us know the news, and our population could join the movement if it isn't stopped now. Should we stop the news from further spreading among our population, or should we let them all know the truth?;;;;;;;;;;;;;
EVTOPTA127848;German unification wouldn't be that bad...;;;;;;;;;;;;;
EVTOPTB127848;Silence the news.;;;;;;;;;;;;;
EVTNAME127851;The Polish Uprising of $YEAR$;;;;;;;;;;;;;
EVTDESC127851;\n\nEver_since_their_brief_independence_during_the_Napoleonic_Wars_and_our_subsequent_annexation_of_the_formerly_Prusso-Austrian_region,_our_subjects_in_Congress_Poland_have_become_increasingly_restless._An_spontaneous_uprising_has_erupted,_caused_by_the_revolt_of_young_Polish_officers_led_by_lieutenant_Piotr_Wysocki._With_the_rebellion_spreading_like_wildfire_among_the_Poles,_the_peoples_of_Lithuania,_Belarus,_and_the_right-bank_Ukraine_have_also_been_whipped_up,_threatening_further_revolutions._We_must_ready_our_armies_for_battle,_for_letting_Poland_go_would_not_only_be_a_show_of_weakness_towards_the_other_great_powers_but_would_also_serve_to_inspire_widespread_insurrection_among_our_subjects.;;;;;;;;;;;;;
EVTOPT127851A;Prepare for war.;;;;;;;;;;;;;
EVTOPT127851C;Let them be free.;;;;;;;;;;;;;
EVTOPT127851D;Onwards to Poland! §BPlay as Poland§W;;;;;;;;;;;;;
EVTDESC127851_NEWS_LONG;A_spontaneous_protest_by_young_Polish_officers_from_the_military_academy_of_the_Army_of_Congress_Poland_has_quickly_erupted_into_a_widespread_insurrection_across_$COUNTRY$,_supported_by_high-ranking_Polish_and_Lithuanian_officers_and_politicians._The_eyes_of_all_of_Europe_are_upon_$COUNTRY$,_and_if_they_deal_with_the_insurgents_too_harshly_it_may_hurt_their_relations_with_other_European_powers._If_they_do_not,_however,_the_uprising_will_surely_spread_even_further.;;;;;;;;;;;;;
EVTDESC127851_NEWS_MEDIUM;A_spontaneous_protest_by_young_Polish_officers_from_the_military_academy_of_the_Army_of_Congress_Poland_has_quickly_erupted_into_a_widespread_insurrection_across_$COUNTRY$,_supported_by_high-ranking_Polish_and_Lithuanian_officers_and_politicians.;;;;;;;;;;;;;
EVTDESC127851_NEWS_SHORT;A_spontaneous_protest_by_young_Polish_officers_from_the_military_academy_of_the_Army_of_Congress_Poland_has_quickly_erupted_into_a_widespread_insurrection_across_$COUNTRY$.;;;;;;;;;;;;;
EVTNAME127852;The Polish Uprising of $YEAR$;;;;;;;;;;;;;
EVTDESC127852;\n\n4_months_ago,_a_spontaneous_protest_by_young_Polish_officers_from_the_military_academy_of_the_Army_of_Congress_Poland_had_quickly_erupted_into_a_widespread_insurrection_across_Poland,_supported_by_high-ranking_Polish_and_Lithuanian_officers_and_politicians._Now_our_Tzar_demands_the_complete_and_unconditional_surrender_of_Poland_and_announces_that_the_Poles_should_surrender_to_the_grace_of_their_Emperor._This_can_only_be_made_by_war.;;;;;;;;;;;;;
EVTOPT127852A;To arms!.;;;;;;;;;;;;;
EVTOPT127852C;Let them be free.;;;;;;;;;;;;;
EVTOPT127852D;Onwards to Poland!;;;;;;;;;;;;;
EVTNAME127853;The Rebellion is Crushed;;;;;;;;;;;;;
EVTDESC127853;\n\nToday,_the_remainder_of_the_Polish_army_of_over_20,000_men_crossed_the_Russian_frontier_and_laid_down_their_arms_at_Brodnica_in_surrender_to_Russia--the_last_resistance_in_Poland._The_war,_during_which_120_battles_and_skirmishes_were_fought_and_forty_thousand_Polish_killed,_came_to_a_speedy_end_in_$YEAR$._The_Tsar_has_immediately_passed_edicts_to_make_the_land_an_integral_part_of_Russia's_territory,_and_the_remaining_Polish_rebels_are_at_his_mercy.;;;;;;;;;;;;;
EVTOPT127853A;There will be harsh reprisals.;;;;;;;;;;;;;
EVTOPT127853B;Be lenient with them.;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_PLR;The January Uprising;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_RUS_PLR;The January Uprising;;;;;;;;;;;;;
bahawalpur_treaty_title;Subsidiary Alliance with Bahawalpur;;;;;;;;;;;;;
bahawalpur_treaty_desc;Bahawalpur has been continually threatened by the Sikh Empire on its western border. To the Nawab, British suzerainty seems a better alternative than conquest by the Sikhs. Therefore, we should sign a treaty of protection with Bahawalpur to extend our rule in India.;;;;;;;;;;;;;
male_desc;The Malês, groups of Muslim African slaves from West Africa, planned a revolt against the townspeople and their masters. For years these men have been treated as chattel, used for nothing but tiring work. Their freedom? Nothing but a fragment of a distant past. But today is the day they fight to regain it. Today, their arms will break the shackles chaining them to the Pelourinho for another round of whips. Or so they claim.;;;;;;;;;;;;;
male_win_desc;The Malês have emerged victious in this war. We have nothing to choice but to accept their terms.;;;;;;;;;;;;;
brz_conquer_male;\n\nWe have reconquered our lost lands in Bahia, taken from us by the Malê devils. It's time we restore rightful ownership over the Zona da Mata Baiana;;;;;;;;;;;;;
EVTDESC127854;\n\n3_days_ago_Nat_Turner,_an_enslaved_African-American_preacher,_had_organized_a_rebellion_of_enslaved_and_free_Black_people_in_Southampton_County,_Virginia._Turner_was_recorded_as_"Nat"_by_Benjamin_Turner,_the_man_who_enslaved_him_and_his_family._When_Benjamin_Turner_died_in_1810,_under_then-current_laws_which_made_slavery_legal,_Nat_was_inherited_as_property_by_Benjamin's_son_Samuel_Turner._On_February_12,_1831,_he_witnessed_a_solar_eclipse_that_was_visible_from_much_of_the_southeastern_United_States,_and_was_convinced_that_it_was_the_sign_for_which_he_was_waiting._He_began_preparations_for_an_uprising_against_the_enslavers_in_Southampton_County_by_purchasing_muskets._The_last_3_days_they_have_been_waging_terror_in_Southampton,_but_have_been_stopped_today_by_local_militias_and_detachments_of_men_from_the_USS_Natchez_and_USS_Warren._Approximately_120_black_people_and_around_60_white_people_died_today.;;;;;;;;;;;;;
EVTDESC127855;\n\nTurner_eluded_capture_for_six_weeks,_but_remained_in_Southampton_County._On_October_30,_a_White_farmer_named_Benjamin_Phipps_discovered_him_hidden_among_the_local_Nottoway_people,_in_a_depression_in_the_earth,_created_by_a_large,_fallen_tree_that_was_covered_with_fence_rails._While_awaiting_trial,_Turner_confessed_his_knowledge_of_the_rebellion_to_attorney_Thomas_Ruffin_Gray,_who_compiled_what_he_claimed_was_Turner's_confession._Today_he_got_sentenced_to_death_and_hanged_for_"conspiring_to_rebel_and_making_insurrection".;;;;;;;;;;;;;
farrapos_revolt_start;\n\nThe turmoil in the São Pedro do Rio Grande do Sul province has exploded into a full blown revolt! The "Farrapos" have reached and conquered Porto Alegre and several towns in the province of São Pedro do Rio Grande do Sul. We must act now, otherwise who knows what these rebels can get up to if they ever manage to beat the Imperial Army.;;;;;;;;;;;;;
declare_rgs_republic_desc;\n\nSeveral Generals in our country have toyed with the idea of declaring a separate Republic known as the "Republica Rio-Grandense", Bento Gonçalves is still pondering weather or not to declare the Republic, but the time has come to make a final choice.;;;;;;;;;;;;;
rgs_federal_askpls_desc;\n\nLiberal politicians in the province of São Pedro do Rio Grande do Sul have demanded more and more federalization of the Empire, repeating that currently they have small to no representation within the Monarchy.;;;;;;;;;;;;;
EVTDESC127857;\n\nNews_has_reached_us_that_slaves_in_Jamaica_have_risen_up_in_a_revolt_to_demand_more_freedom_and_a_working_wage_of_"half_the_going_wage_rate,"_which_we_can't_provide._The_enslaved_laborers_believed_that_the_protest_and_resulting_labor_shortage_alone_could_cause_Britain_to_agree_to_their_demands._Resorting_to_violence_was_only_envisaged_if_our_troops_were_to_use_it_against_them._Thus,_when_the_army_fired_shots_to_dissolve_an_angry_mob,_they_unwittingly_caused_a_revolt_of_60,000_slaves_to_begin,_under_the_leadership_of_Samuel_Sharpe,_a_former_slave_turned_Baptist_preacher.;;;;;;;;;;;;;
EVTDESC127858;\n\nNews_has_reached_us_that_slaves_in_Jamaica_have_risen_up_in_a_revolt_to_demand_more_freedom_and_a_working_wage_of_"half_the_going_wage_rate,"_which_the_British_won't_provide._The_enslaved_laborers_believe_that_the_protest_and_resulting_labor_shortage_alone_could_cause_Britain_to_agree_to_their_demands._Resorting_to_violence_was_only_envisaged_if_the_British_themselves_were_to_use_it_against_them._Thus,_when_British_troops_fired_shots_to_dissolve_an_angry_mob,_they_unwittingly_caused_a_revolt_of_60,000_slaves_to_begin,_under_the_leadership_of_Samuel_Sharpe,_a_former_slave_turned_Baptist_preacher.;;;;;;;;;;;;;
male_core_desc;\n\nWe have conquered even more lands from those heretic Brazilians!;;;;;;;;;;;;;
males_expand_title;Jihad against Brazil;;;;;;;;;;;;;
males_expand_desc;These heretic Brazilians should pay for what they made our people go through! We should expand all the way up to São Francisco!;;;;;;;;;;;;;
paa_cabanagem_desc;\n\nThe Cabanos have captured Belém! The rebelious forces in the north of Brazil have captured the provincial capital of Belém and have declared the Republic of Pará and are now at war with the Imperial government seeking independence.;;;;;;;;;;;;;
EVTDESC18351836;\n\nThe_Great_Trek_has_begun!_From_1652_to_1806,_the_Cape_Colony_was_a_part_of_the_Netherlands_under_the_name_"Kaapkolonie"._Under_this_period,_tons_of_Dutch_people_migrated_down_there_for_trading_reasons._The_Cape_Colony_was_an_important_re-supply_station_for_all_trade_coming_from_europe_and_further_on_to_Asia._The_Afrikaners_(Dutch-Africans)_still_has_the_vast_majority_of_the_European_population_in_the_Cape_Colony_and_during_the_last_years_the_Afrikaners_feel_that_they've_been_treated_unfairly,_especially_when_we_declared_in_1828_that_the_native_Africans_were_to_have_human_rights,_when_we_declared_English_as_the_official_language_of_the_region_when_most_Afrikaners_spoke_no_English_and_just_now,_when_we_abolished_slavery_(Historically_in_1834)._In_some_places,_94%_of_the_Afrikaners_owned_slaves,_so_this_was_a_huge_hit_to_their_livelihood._12000_Afrikaners_are_now_on_their_way_to_become_refugees_in_the_vast_wilderness_of_southern_Africa!_What_should_we_do?;;;;;;;;;;;;;
brest_litovsk_fort_title;Build the Brest-Litovsk Fortress;;;;;;;;;;;;;
brest_litovsk_fort_desc;It is time for our government to commission a fortress in the key strategic city of Brest-Litovsk, covering an intersection of the Bug and Mukhavets rivers. It is to be constructed in a star shape, with barracks lining its banks on three sides and a citadel on an island in the center. The fort will accommodate 12,000 soldiers in total.;;;;;;;;;;;;;
DEATHSUCRE;\n\nAntonio José de Sucre y Alcalá or the 'Gran Mariscal de Ayacucho' has been found dead on a a trail leading South. Sucre, a brilliant general and tactician who led the pro-independence forces to victory against the Spanish royalists in the decisive battles of Pichincha and Ayacucho, was perhaps Simón Bolívar's greatest ally. After vanquishing the Spaniards, he served as president of Bolivia until a strong anti-Bolívarian movement led to his resignation. In face of the imminent collapse of Gran Colombia, he headed South to discourage the secession of Ecuador. Seeing the danger that a beloved hero of the war of independence poses to their plot, the pro-Ecuadorian elements under Juan José Flores hired an assassin to murder Sucre, preventing his interference.;;;;;;;;;;;;;
osterreichische_lloyd_title;Österreichischer Lloyd;;;;;;;;;;;;;
osterreichische_lloyd_desc;Several sea transport insurance companies, banking houses and numerous individual shareholders, among them the Austrian politician Karl Ludwig von Bruck, have come together to form a shipping company. Based in Trieste, it would begin constructing new steamers to transports passengers and goods and bring news from overseas. With this much backing, the company would be sure to become the prime shipping company in the Austrian Empire.;;;;;;;;;;;;;
EVTDESC16051839;\n\nThe_Palace_of_Westminster_has_burned_down_today_in_a_sudden_conflagration._According_to_the_investigation_on_the_ground,_a_bundle_of_tally_sticks_used_for_accounting_by_the_Exchequer_was_disposed_of_in_two_underfloor_stoves_under_the_House_Floors,_which_caused_a_chimney_fire._The_fire_then_seeped_through_the_building_and_caused_the_walls_to_catch_fire_as_well._Before_it_was_put_out,_flames_engulfed_all_of_Westminster_Palace_and_left_intact_only_five_of_its_buildings._Reconstruction_will_have_to_begin_immediately.;;;;;;;;;;;;;
EVTDESC160518411;\n\nAfter_the_loss_of_Central_America_by_the_Mexican_Empire,_secessionist_movements_both_by_Hispanic_and_indigenous_nationalists_have_plagued_our_fledgling_state_of_$COUNTRY$._Anastasio_Aquino,_a_leader_of_the_Nahualco_indigenous_people,_has_staged_a_rebellion_in_the_department_of_La_Paz_after_his_brother_was_arrested_by_the_owner_of_the_hacienda_the_two_worked_on._He_soon_amassed_an_army_of_over_2,000_men_and_attacked_towns_across_La_Paz._His_army_will_require_the_mobilization_of_our_troops_the_way_all-out_war_would.;;;;;;;;;;;;;
antoine_clot_title;Establish a School of Medicine for Women;;;;;;;;;;;;;
antoine_clot_desc;A French doctor named Antoine Clot has held an esteemed medical practice in Egypt for 5 years as Surgeon-in-Chief of the Armies. Before he arrived from France, our country did not yet have a medical care system: since then he has worked as director of the first medical school in Egypt, Kasr al-Aini Medical School, and even has been made chief surgeon for Muhammad Ali Pasha. Clot is a force of Egypt's modernization. With this modernization comes a need to bring women into the fold. We should grant Clot's request to open a women's medical school.;;;;;;;;;;;;;
PRIESTJOVICA;\n\nThe always separatist-minded Serbs have launched a rebellion against us in Bosnia, led by a radical Orthodox priest named Jovica Ilic. It was sparked when Ilic petitioned former Prince Miloš Obrenovic for support for an armed revolt, then met with fellow priests who each agreed to help organize participants. Violence is currently concentrated in Tuzla and around Banja Luka. The most worrying violence, however, has come in the nahiye of Derventa in Posavina, where Odzak has been set on fire. The revolt has been crushed in three days, but insurrections continue throughout Bosnia.;;;;;;;;;;;;;
EVTDESC16051840;\n\nIn_the_rural_town_of_Uster,_Zürich_canton,_locals_gathered_today_in_a_peaceful_assembly_to_protest_the_overrepresentation_of_the_cantonal_capital_compared_to_Zürich's_rural_parts._They_argue_that_Uster's_livelihood_has_been_neglected,_causing_its_locals_to_languish_in_poverty_and_remain_largely_uneducated._They_also_call_for_a_new_constitution_to_overhaul_the_governance_of_all_Switzerland's_cantons._For_citizens_to_call_for_the_constitution's_repeal_or_amendment_is_unheard_of:_they_are_legally_prohibited_from_petitioning_the_government_to_make_such_changes._Nevertheless,_the_liberal_ideas_left_behind_by_Napoleon's_rule_clearly_are_still_showing_their_influence._This_will_definitely_not_be_the_last_call_by_our_people_for_fair_representation.;;;;;;;;;;;;;
EVTDESC16051841;\n\nNever_before_have_our_people_made_such_strong_demands_against_our_government_while_also_not_shedding_a_drop_of_blood._Today,_discontent_locals_in_the_Freiamt_region_of_Aargau_canton_led_an_uprising_in_protest_of_reduced_rural_representation_in_the_constitution._They_demonstrated_their_resolve_by_organizing_themselves_into_militias._Despite_clashes_across_Freiamt_where_about_6,000_total_militia_members_confronted_Swiss_forces--with_both_sides_prepared_to_engage--not_a_single_shot_was_fired._Miraculously,_the_government_agreed_to_a_revision_to_the_constitution_and_negotiated_an_end_to_the_uprising._This_marks_an_indelible_end_to_the_illiberal,_undemocratic_government_before_Napoleon's_time,_where_the_government_could_get_away_with_unequal_or_unfair_representation_of_the_people._Aargau_was_ruled_particularly_heavy-handedly_by_governor_Johannes_Herzog,_who_has_been_claimed_to_want_to_run_a_duchy_instead_of_a_canton._Well,_his_tyranny_ends_now.;;;;;;;;;;;;;
EVTDESC16051843;\n\nThe_tyrannical_general_Resid_Mehmed_has_at_long_last_acted_on_the_Ottomans'_behalf_to_tighten_their_choke_hold_on_the_Albanian_people._The_general_invited_500_Albanian_beys_to_attend_a_meeting_where_they_would_be_rewarded_for_their_loyalty_to_their_government._When_they_arrived,_the_beys_were_greeted_by_a_military_procession--but_the_next_thing_they_knew,_upon_a_hand_signal_from_Mehmed,_the_Turkish_soldiers_opened_fire_on_the_beys_and_killed_them_all._\n\nThe_Ottomans_have_removed_the_one_element_in_the_government_we_could_count_on_to_stop_our_full_annexation._Lest_we_let_our_dream_of_an_independent_Albania_die_out,_we_must_rally_our_people_and_declare_a_war_for_our_liberation_against_the_Ottomans--right_now._Our_surviving_political_leaders_have_already_organized_soldiers_to_do_so.;;;;;;;;;;;;;
EVTDESC16051844;\n\nGeneral_Resid_Mehmed_has_taken_rash_action_to_tighten_our_grip_on_the_administration_in_Albania_by_committing_a_massacre_against_Albanian_beys,_traditional_chieftains._About_500_of_them_were_invited_to_a_meeting_where_they_were_told_they_were_to_be_rewarded_for_their_loyalty_to_the_government_at._They_attended,_and_after_their_arrival_they_were_greeted_by_a_ceremonial_solute_parade_of_soldiers,_which_was_in_fact_an_ambush._Upon_a_sign_from_Resid_Mehmed,_they_fired_upon_the_beys,_slaughtering_them_all._This_massacre_comes_as_a_response_to_the_behavior_of_the_Pashaliks_of_Yanina_and_Shkodra,_who_had_ambitions_to_finally_create_an_independent_Albania._But_the_Albanian_people_will_not_stand_for_this--they_have_already_taken_up_arms_to_challenge_our_forces_head-on.;;;;;;;;;;;;;
BUSHATIVICTORY;\n\nAfter Sultan Mahmud II brutally betrayed us with the now-infamous Massacre of the Albanian Beys, he invaded our homeland and tried to rob us of our autonomy. However, the war did not develop as he had hoped: Against all odds, the Ottoman armies were repulsed by our pasha, Mustafa Bushati. As a result, instead of losing our autonomy, we have won independence by clutching victory from the jaws of defeat. As a new era dawns upon our country, Mustafa Bushati has assumed a new title: A pasha no longer, he is now the Sultan of Albania. Now that we are forever free from the Ottoman yoke, a bright future awaits.;;;;;;;;;;;;;
bavarian_ludwig_railway_title;The Bavarian Ludwig Railway;;;;;;;;;;;;;
bavarian_ludwig_railway_desc;Railways are the future of transportation. With their recent invention in Britain promising speedy commutes between cities, it is not hard to imagine that Germany would benefit greatly from building their own. The Royal Privileged Ludwig Railway Company may obtain a charter for building a railway in Bavaria right now--also the first in all of Germany.;;;;;;;;;;;;;
GREATMOONHOAX;\n\nA series of articles anonymously published in New York newspaper The Sun are causing a stir. They claim there exists not only life but an entire civilization on Earth's moon, with no one having previously observed them. It features fantastical illustrations of the moon's geography and creatures such as a man with bat wings, which the articles claim are common inhabitants on the moon. These claims are clearly false, but they nevertheless have proven beneficial for The Sun's circulation, allowing the paper to claim a new height of success. The articles' author, meanwhile, has yet to be revealed.;;;;;;;;;;;;;
