disarming;Forced to Disarm;Devra se désarmer;Zur Entwaffnung gezwungen;;Obligado a desarmarse;;;;;;;;x
DIPLOMACY_CHANCE_JOIN_WAR;Likelyhood of joining the war: §Y$VAL$§W;Probabilité de rejoindre : §Y$VAL$§W;Wahrscheinlichkeit des Kriegseintritts: §Y$VAL$§W;;Probabilidad de que se incorpore a la guerra: §Y$VAL$§W;;;;;;;;;x
PO_ISBETTER;If we refuse this offer we will suffer the following:\n §R+$MIL$§W Militancy, §R+$WE$§W War exhaustion;Si nous refusons cette offre, nous subirons ce qui suit :\n §R+$MIL$§W de militantisme, §R+$WE$§W d'épuisement de guerre;Wenn wir dieses Angebot ablehnen, werden wird das folgende Konsequenzen haben:\n §R+$MIL$§W Militanz, §R+$WE$§W Kriegsmüdigkeit;;Si rechazamos la oferta sufriremos lo siguiente:\n §R+$MIL$§W de militancia, §R+$WE$§W de agotamiento bélico;;;;;;;;;x
leave_soi_title;Leave Sphere of Influence;Quitter la sphère d'influence;Einflusssphäre verlassen;;Abandonar esfera de influencia;;;;;;;;;x
leave_soi_desc;We can leave this Sphere of Influence, however our former master may well declare war to stop us.;Nous pouvons quitter cette sphère d'influence, mais notre ancien maître risque de nous déclarer la guerre pour nous arrêter.;Wir können diese Einflusssphäre verlassen, aber unser früherer Herr könnte uns den Krieg erklären, um uns daran zu hindern.;;Podemos abandonar esta esfera de influencia, pero nuestro antiguo señor podría declararnos la guerra.;;;;;;;;;x
NEW_PARTY_AVAIL_SETUP;New political party;Nouveau parti politique;Neue politische Partei;;Nuevo partido político;;;;;;;;;x
NEW_PARTY_AVAIL_HEADER;New political party formed;Nouveau parti politique formé;Neue politische Partei gegründet;;Se ha formado un nuevo partido político;;;;;;;;;x
NEW_PARTY_AVAIL_1;$PARTY$ has been formed;$PARTY$ a été formé;$PARTY$ wurde soeben gegründet;;Se ha formado un partido: $PARTY$;;;;;;;;;x
NEW_PARTY_AVAIL_2;*;*;*;*;*;*;*;;;;;;;x
NEW_PARTY_AVAIL_3;*;*;*;*;*;*;*;;;;;;;x
NEW_PARTY_AVAIL_4;*;*;*;*;*;*;*;;;;;;;x
NEW_PARTY_AVAIL_5;*;*;*;*;*;*;*;;;;;;;x
NEW_PARTY_AVAIL_6;*;*;*;*;*;*;*;;;;;;;x
NEW_PARTY_AVAIL_BTN1;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x
NEW_PARTY_AVAIL_BTN2;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x
NEW_PARTY_AVAIL_BTN3;Go to;Voir;Goto;;Ir a;;;;;;;;;x
NEW_PARTY_AVAIL_LOG;New political party;Nouveau parti politique;Neue Partei gegründet: $PARTY$.;;Nuevo partido político;;;;;;;;;x
PARTY_UNAVAIL_SETUP;Political party defunct;Parti politique dissous;Partei aufgelöst;;Partido político desaparecido;;;;;;;;;x
PARTY_UNAVAIL_HEADER;Political party defunct;Parti politique dissous;Partei aufgelöst;;Partido político desaparecido;;;;;;;;;x
PARTY_UNAVAIL_1;$PARTY$ is now defunct;$PARTY$ est à présent dissous;$PARTY$ wurde aufgelöst;;Ha desaparecido un partido político: $PARTY$;;;;;;;;;x
PARTY_UNAVAIL_2;*;*;*;*;*;*;*;;;;;;;x
PARTY_UNAVAIL_3;*;*;*;*;*;*;*;;;;;;;x
PARTY_UNAVAIL_4;*;*;*;*;*;*;*;;;;;;;x
PARTY_UNAVAIL_5;*;*;*;*;*;*;*;;;;;;;x
PARTY_UNAVAIL_6;*;*;*;*;*;*;*;;;;;;;x
PARTY_UNAVAIL_BTN1;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x
PARTY_UNAVAIL_BTN2;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x
PARTY_UNAVAIL_BTN3;Go to;Voir;Goto;;Ir a;;;;;;;;;x
PARTY_UNAVAIL_LOG;Political party now unavailable;Parti politique désormais indisponible;Die Partei §Y$PARTY$§W wurde aufgelöst und existiert nicht länger.;;Ha desaparecido un partido político;;;;;;;;;x
PRODUCTION_FACTORY_DAYSRED_TOOLTIP;Days of insolvency: §R$DAYS$§W;Jour d'insolvabilité : §R$DAYS$§W;Tage mit Verlusten: §R$DAYS$§W;;Días de insolvencia: §R$DAYS$§W;;;;;;;;;x
EXPENSE_NO_AFFORD;We can only afford to pay §R$VAL$§W¤ of our expenses!;Nous ne pouvons nous acquitter que de §R$VAL$§W¤de nos dépenses !;Wir können nur §R$VAL$§W¤ unserer Ausgaben zahlen!;;¡Solo podemos pagar el §R$VAL$§W¤ de nuestros gastos!;;;;;;;;;x
PRODUCTION_FACTORY_DAYSRED_TOOLTIP;Days of insolvency: §R$DAYS$§W;Jours d'insolvabilité : §R$DAYS$§W;Insolvenztage: §R$DAYS$§W;;Días de insolvencia: §R$DAYS$§W;;;;;;;;;x
ENG_presidential_dictatorship;Great Britain;Grande-Bretagne;Großbritannien;;Gran Bretaña;;;;;;;;x
EVTNAME16451;Raiding the garrisons;Attaque des garnisons;Überfall auf Garnisonen;;Asalto contra las guarniciones;;;;;;;;;x
EVTDESC16451;During_the_early_days_of_the_Texan_Revolution,_Texan_troops_were_able_to_overrun_several_Mexican_garrisons._This_provided_the_Texan_army_with_much_needed_money_and_supplies.;Aux_premiers_jours_de_la_Révolution_texane,_les_troupes_du_Texas_ont_réussi_à_renverser_plusieurs_garnisons_mexicaines_permettant_ainsi_à_leur_armée_de_disposer_des_fonds_et_ravitaillements_nécessaires.;Während_der_ersten_Tage_der_texanischen_Revolution_konnten_texanische_Truppen_mehrere_mexikanische_Garnisonen_überrennen._Dies_brachte_der_texanischen_Armee_stark_benötigte_Gelder_und_Nachschubmaterial_ein.;;Durante_los_primeros_días_de_la_Revolución_Texana,_las_tropas_de_Texas_pudieron_destruir_varias_guarniciones_mexicanas._Gracias_a_esto,_el_ejército_texano_obtuvo_unos_fondos_y_pertrechos_de_los_que_estaba_muy_necesitado.;;;;;;;x
CB_ALLOWED_GUNBOAT;Force Debt Repayment;Forcer le remboursement de la dette;Schuldentilgung erzwingen;;Forzar pago de deuda;;;;;;;;x
po_gunboat;Repay Debts.;Rembourser les dettes;Schulden tilgen.;;Pagar deudas.;;;;;;;;x
IS_IN_DEFAULT_TO;Is in Default to;Est débiteur de;ist im Zahlungsrückstand gegenüber;;Está en situación de incumplimiento de pagos con;;;;;;;;x
IS_NOT_IN_DEFAULT_TO;Is not in Default to;N'est pas débiteur de;ist nicht im Zahlungsrückstand gegenüber;;No está en situación de incumplimiento de pagos con;;;;;;;;x
gunboat;Repay Debts;Rembourser les dettes;Schulden tilgen;;Pagar deudas;;;;;;;;x
gunboat_desc;Force them to resume repayment of their debts to us.;Les forcer à reprendre le remboursement des dettes contractées envers nous.;Sie zwingen, ihre Schuldenrückzahlungen weiterzuführen.;;Obligarlos a reanudar el pago de sus deudas con nosotros.;;;;;;;;x
gunboat_setup;Will force them to honor their debts to us.;Nous les forceront à honorer les dettes contractées envers nous.;Werden sie zwingen, uns ihre Schulden zurückzuzahlen.;;Los obligará a hacer frente a sus deudas con nosotros.;;;;;;;;x
gunboat_short;Repay Debts;Rembourser les dettes;Schulden tilgen;;Pagar deudas;;;;;;;;x
EVTNAME70002;$FROMCOUNTRY$ goes bankrupt!;$FROMCOUNTRY$ a fait faillite !;$FROMCOUNTRY$ ist bankrott!;;¡$FROMCOUNTRY$ está en bancarrota!;;;;;;;;x
EVTDESC70002;\n\n$FROMCOUNTRY$_has_gone_bankrupt_and_claims_that_they_owe_us_nothing!_We_must_use_our_military_might_to_safeguard_our_investors.;\n$FROMCOUNTRY$_a_fait_faillite_et_ils_crient_haut_et_fort_qu'ils_ne_nous_doivent_rien_!\nIl_nous_faut_recourir_à_notre_puissance_militaire_pour_protéger_nos_investisseurs.;$FROMCOUNTRY$_ist_bankrott_und_behauptet,_sie_schulden_uns_nichts!_Wir_müssen_unsere_Investoren_mit_unserer_Militärmacht_schützen.;;¡$FROMCOUNTRY$_ha_declarado_la_bancarrota_y_afirma_que_no_nos_debe_nada!_Debemos_usar_nuestras_fuerzas_armadas_para_proteger_los_intereses_de_nuestros_inversores.;;;;;;;;x
EVTOPTA70002;OK;Ils vont voir qui nous sommes;OK;;Aceptar;;;;;;;;x
USE_LEADER;Use leader;Utiliser cet officier;Anführer verwenden;;Usar líder;;;;;;;;x
SHORTCUT;§WShortcut: §Y;§WRaccourci : §Y;§WTastenkürzel: §Y;;§WAtajo: §Y;;;;;;;;;x
SM_SHORTCUT;Shortcut tooltip;Raccourci infobulle;Tastenkürzel Tooltipp;;Recuadro de texto de atajo;;;;;;;;x
TUR_proletarian_dictatorship_ADJ;Turkish;Turc;Türkisch;;Turca;;;;;;;;;x
move_capital_to_moscow_title;Return to the Third Rome;Retourner à la Troisième Rome;Zurück zum Dritten Rom;;Volver a la tercera Roma;;;;;;;;x
move_capital_to_moscow_desc;Glorious Saint Petersburg, the city of Peter the Great, is uncomfortably close to the border. Perhaps it would be prudent to move our capital back to Moscow, the Pervoprestolnaya", which invading armies might find harder to reach...";La glorieuse Saint-Pétersbourg, ville de Pierre le Grand, est inconfortablement proche de la frontière. Il serait peut-être plus prudent de retransférer notre capitale à Moscou, la « Pervoprestolnaya », que les armées d’invasion auront plus de mal à rejoindre...;Das famose St. Petersburg, Stadt Peter des Großen, liegt unangenehm nah an der Grenze. Vielleicht wäre es sinnvoll, unsere Hauptstadt zurück nach Moskau, der "Perwoprestolnaja", zu verlegen, das für einfallende Armeen schwerer zu erreichen ist ...;;La gloriosa San Petersburgo, ciudad de Pedro el Grande, está incómodamente cerca de la frontera. Puede que sea prudente trasladar de nuevo la capital a Moscú, la "Pervoprestolnaya", mucho más difícil de alcanzar para los ejércitos enemigos...;;;;;;;;x
