Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
Claim_MSQ_title;Claim the Mosquito Coast;;;;;;;;;;;;;
Claim_MSQ_desc;§RGain 2 infamy§! With our status as the successor to the Viceroyalty of New Granada, who administered the Mosquito Coast as a basis for our claim, we can now officially begin a territorial dispute on who is the rightful owner of it.;;;;;;;;;;;;;
Claim_ARM_title;Greater Armenia;;;;;;;;;;;;;
Claim_ARM_desc;§RGain 14 infamy§! Now that we have secured our core lands, we must strive to achieve a truly noble vision: All Armenians must be united in a Greater Armenian state.;;;;;;;;;;;;;
Claim_AZB_title;Greater Azerbaijan;;;;;;;;;;;;;
Claim_AZB_desc;§RGain 10 infamy§! Now that we have secured our core lands, we must strive to achieve a truly noble vision: All Azerbaijanis must be united in a Greater Azerbaijani state.;;;;;;;;;;;;;
Accept_Georgians_title;Accept the Georgians;;;;;;;;;;;;;
Accept_Georgians_desc;Despite differences in language and religion, the Georgians are not so different from us - their old royal dynasty, the Bagratids, even has Armenian origins. It would bring stability to our lands if we accepted them as citizens, though it will hurt our prestige to accept another culture.;;;;;;;;;;;;;
Claim_KDS_title;Greater Kurdistan;;;;;;;;;;;;;
Claim_KDS_desc;§RGain 14 infamy§! Now that we have secured our core lands we must strive to achieve a truly noble vision: All Kurds must be united in a greater Kurdish state.;;;;;;;;;;;;;
Claim_URU_title;Declare the Uruguayan Federation;;;;;;;;;;;;;
Claim_URU_desc;§RGain 10 infamy§! The idea of a state unifying both sides of the Uruguay River is hardly a new one. The League of the Free Peoples under Artigas was a clear example of that and, during the Big War, due to Rivera's expeditions to Mesopotamia and connections to the Farrapos in Southern Brazil, the Colorado founder brought back the idea of an independent federal state to unify Corrientes, Entre Rios, Rio Grande do Sul and Uruguay. Now, regardless of what our current government thinks of Rivera and his plans, we can't deny that such a plan—while risky—could guarantee a better position to Uruguay between the two giants it has for neighbors.;;;;;;;;;;;;;
Claim_YEM_title;Claim Dhofar;;;;;;;;;;;;;
Claim_YEM_desc;§RGain 1 infamy§! Dhofar is currently part of Muscat-Oman, yet it has the same people as our country. Why shouldn't we claim it?;;;;;;;;;;;;;
Claim_OMA_title;Claim Trucial Oman;;;;;;;;;;;;;
Claim_OMA_desc;§RGain 5 infamy§! The Trucial States, also known as Trucial Oman, are an integral part of our nation that we unfortunately lost our hold over. The time has come to reclaim our rightful land once and for all! Trucial Oman shall soon be called just Oman once more.;;;;;;;;;;;;;
Claim_Gulf_title;Claim the Gulf;;;;;;;;;;;;;
Claim_Gulf_desc;§RGain 4 infamy§! We must secure the Gulf to assert our position as a power to be reckoned with. §RYou need at least 70% civilization progress, the tooltip lies.§W;;;;;;;;;;;;;
Claim_IDC_title;Claim southwestern China;;;;;;;;;;;;;
Claim_IDC_desc;The people of southwestern China are, for the most part, not Mandarin-speaking Han people, but rather ethnic minorities oppressed by Peking. They are, conversely, closely linguistically related to the languages of Indochina. The Zhuang of Guangxi, for instance, speak a Kra-Dai language related to Thai, whilst the Mien of Guizhou speak a Miao-Yao language close to that of the Hmong of Laos. It is, accordingly, our responsibility to rescue our brethren from the Chinese yoke and bring them into the Indochinese fold.;;;;;;;;;;;;;
disarm_albania_title;Disarm Albania;;;;;;;;;;;;;
disarm_albania_desc;The rebellious Albanians have proven themselves a nuisance time and again. Vizier Omer Pasha Vrioni of Yanina has proposed that we disarm the troublesome Albanians, preventing them from revolting again anytime soon. This would certainly, in and of itself, result in a massive uprising, as the fiercely independent Albanians would never voluntarily give up their weapons.;;;;;;;;;;;;;
integrating_mexico_title;Integrate Mexico;;;;;;;;;;;;;
integrating_mexico_desc;§RGain 15 infamy§! After many years under our control, the land once known as Mexico has been slowly elevated from its previous condition. Infrastructure has been developed, industry has been built, the English language has spread, American units have been introduced, et cetera. Now, the time has finally come for the lands of Mexico to become proper US states. Sinaloa, Morelia and Coahuila will be no different than Oregon, Pennsylvania and Kentucky.;;;;;;;;;;;;;
tarfaya_purchase_title;The Treaty of Cape Juby;;;;;;;;;;;;;
tarfaya_purchase_desc;The Port of Tarfaya, located near Cape Juby on the west coast of the Sahara desert, was occupied and taken over by as part of the Scramble for Africa. It was turned into an exchange center of commerce in order to trade with commercial caravans coming from Timbuktu and heading to Wadi Noun. Now that the scramble has drawn to a close, however, the port has proven unprofitable to maintain, and the local garrison has had trouble with local nomads. As we control Tarfaya's hinterland, it is likely that its current proprietors would be willing to sell it to us.;;;;;;;;;;;;;
claim_mgl_title;Revive the Mongol Empire;;;;;;;;;;;;;
claim_mgl_desc;§RGain 5 infamy§! Founded by Genghis Khan in 1206, the Mongol Empire once stretched from the Pacific to the Mediterranean and from the Persian Gulf to the Barents Sea, forming the largest contiguous land empire in history. The Mongol Empire soon crumbled and collapsed into the Ilkhanate, the Golden Horde, the Yuan Dynasty and the Chagatai Khanate, leaving a heavy mark on the land. Perhaps if we once again regained such immense tracts of land, we could keep them together and create a timeless empire. However, until then, we should honor our past and show our might by officially donning the mantle of the 2nd Mongol Empire.;;;;;;;;;;;;;
become_zanzibar_title;Become Zanzibar;;;;;;;;;;;;;
become_zanzibar_desc;Our capital of Muscat has been lost! We must flee to Africa and assume the title of Sultan of Zanzibar.;;;;;;;;;;;;;
Mongolia_Claim_title;Supreme Mongolia;;;;;;;;;;;;;
Mongolia_Claim_desc;We can't be stopped! We must expand!;;;;;;;;;;;;;
baluchistan_goldsmid_arbitration_title;Goldsmid's Baluchistan arbitration;;;;;;;;;;;;;
baluchistan_goldsmid_arbitration_desc;Let's have Goldsmid arbitrate Baluchistan.;;;;;;;;;;;;;
aachen_reforms_francia_title;Reform Francia as Aachen;;;;;;;;;;;;;
aachen_reforms_francia_desc;Let us reform Francia.;;;;;;;;;;;;;
Claim_POM_title;Claim Mecklenburg-Vorpommern;;;;;;;;;;;;;
Claim_POM_desc;§RGain 2 infamy§! We must expand our regional influence, now that we are no longer in Prussia's sphere.;;;;;;;;;;;;;
Claim_BSQ_title;Claim the islands of Saint Pierre and Miquelon;;;;;;;;;;;;;
Claim_BSQ_desc;§RGain 1 infamy§! Many people of our culture live on the islands of Saint Pierre and Miquelon. We should use this as a basis to claim them as part of our territory.;;;;;;;;;;;;;
Celtic_Union_title;Form the Celtic Union;;;;;;;;;;;;;
Celtic_Union_desc;For many centuries Celts have been oppressed by the British in Wales, Scotland and Ireland. Now that we have achieved independence from them, the time has come for us to create a new union of Celtic peoples, free from foreign oppression.;;;;;;;;;;;;;
Claim_BRT_title;Claim Brittany for the Celtic Union;;;;;;;;;;;;;
Claim_BRT_desc;The Breton people have Celtic roots. We must therefore liberate them from their French oppressors and admit them into our union of all Celts.;;;;;;;;;;;;;
Claim_GLC_title;Claim Galicia for the Celtic Union;;;;;;;;;;;;;
Claim_GLC_desc;The Galician people have Celtic roots. We must therefore liberate them from their Spanish oppressors and admit them into our union of all Celts.;;;;;;;;;;;;;
Claim_NWG_title;Claims in Germany;;;;;;;;;;;;;
Claim_NWG_desc;§RGain 8 infamy§! Not only do many of our people live in the other side of the border with Germany, but there are also some lands of Wallonia and Luxemburg that are now under German occupation. We must claim these lands to unify our nation and protect our people from German rule.;;;;;;;;;;;;;
Claim_AMZ_title;Claim the entirety of the Amazon;;;;;;;;;;;;;
Claim_AMZ_desc;§RGain 9 infamy§! To unify all Amazonians under a single state, we must cement our territorial claims to the Amazon itself.;;;;;;;;;;;;;
claim_Lugano_title;Seize Lugano from the Swiss;;;;;;;;;;;;;
Claim_Oceania_title;Claim Australasia;;;;;;;;;;;;;
Claim_Oceania_desc;§RGain 10 infamy§! The inhabitants of New Zealand and Australia are similar in culture, location and language. It is time for us to use that fact to lay claim to the other land across the Tasman Sea.;;;;;;;;;;;;;
Reclaim_Kuldscha_title;Reclaim Ili;;;;;;;;;;;;;
Reclaim_Kuldscha_desc;The filthy Russians took our land while we were fighting in the Taiping rebellion. Now it is time for us to demand it back under the threat of war.;;;;;;;;;;;;;
Claim_VLG_title;Claim Novy Uzen;;;;;;;;;;;;;
Claim_VLG_desc;§RGain 1 infamy§! We must claim Novy Uzen and free its German population from Russian rule.;;;;;;;;;;;;;
Claim_Hessen_title;Claim Hessen;;;;;;;;;;;;;
Claim_Hessen_desc;§RGain 7 infamy§! The region of Hessen is divided between Hesse-Darmstadt, Hesse-Kassel, Frankfurt am Main, Waldeck-Pyrmont, Nassau and the Prussian city of Wetzlar, yet many inhabitants of Hessen still have a local identity. We can call on this regional patriotism to claim sovereignty over all of Hessen.;;;;;;;;;;;;;
found_niger_company_title;Found the Niger Company;;;;;;;;;;;;;
found_niger_company_desc;Let's form the Niger Company and lay claim to Nigeria for colonial exploitation.;;;;;;;;;;;;;
Claim_DOM_title;Retake the Dominican Republic;;;;;;;;;;;;;
Claim_DOM_desc;§RGain 5 infamy§! Now that the Dominican Republic is independent from Haiti and the USA is unable to enforce the Monroe doctrine due to their civil war, we can seize the opportunity to retake the Dominican Republic.;;;;;;;;;;;;;
Become_SER_title;Reunite with Serbia;;;;;;;;;;;;;
Become_SER_desc;Now that we have won the revolt against the Ottoman empire, it is time to rejoin the motherland.;;;;;;;;;;;;;
Become_SIC_title;Reunite the Two Sicilies;;;;;;;;;;;;;
Become_SIC_desc;Now that we control the lands of Sicily and Naples, we can assume the title of the Two Sicilies to legitimize our ownership of these lands.;;;;;;;;;;;;;
Become_SWH_title;Reunite Schleswig-Holstein;;;;;;;;;;;;;
Become_SWH_desc;Now that we control the lands of Schleswig and Holstein we can assume the title of Schleswig-Holstein to legitimize our ownership of these lands.;;;;;;;;;;;;;
Become_RHI_title;Unite the Rhineland;;;;;;;;;;;;;
Become_RHI_desc;Now that we have conquered enough land in the Rhineland we can claim to represent its entirety to legitimize more conquest.;;;;;;;;;;;;;
unite_moldavia_wallachia_sw_title;Unite Wallachia and Moldavia SW version;;;;;;;;;;;;;
unite_moldavia_wallachia_sw_desc;This is a change to the decision to form Romania for the SW submod.;;;;;;;;;;;;;
claim_UIL_title;Assume leadership of the US;;;;;;;;;;;;;
claim_UIL_desc;Now that Washington D.C. and New York are under our control, we can claim to be the legitimate US government and claim the same lands as the US.;;;;;;;;;;;;;
claim_Lugano_desc;§RGain 3 infamy§! Lugano is culturally entirely Italian, that is how we can justify seizing it off the Swiss.;;;;;;;;;;;;;
unite_with_mongolia_title;Unite with Mongolia;;;;;;;;;;;;;
unite_with_mongolia_desc;The time has come for us to reunite with our cultural brethren, the Mongolians.;;;;;;;;;;;;;
Claim_ASY_title;Claim the Assyrian Empire;;;;;;;;;;;;;
Claim_ASY_desc;Now that we have conquered the lands around us, we can reclaim the territory of the ancient Assyrian empire.;;;;;;;;;;;;;
Claim_BAB_title;Claim Greater Babylonia;;;;;;;;;;;;;
Claim_BAB_desc;Now that we have declared ourselves the legitimate successors to the ancient Babylonian empire, we can claim its historic lands.;;;;;;;;;;;;;
claim_GEO_title;Greater Georgia;;;;;;;;;;;;;
claim_GEO_desc;§RGain 7 infamy§! Now that we have taken the lands which we had under our control until not too long ago, we can exercise our claim on the borders of the 13th century Georgian kingdom.;;;;;;;;;;;;;
Accept_Armenians_title;Accept the Armenians;;;;;;;;;;;;;
Accept_Armenians_desc;Despite differences in language and religion, the Armenians are not so different from us - our old royal dynasty, the Bagratids, even has Armenian origins. It would bring stability to our lands if we accepted them as citizens, though it will hurt our prestige to accept another culture.;;;;;;;;;;;;;
Claim_Alex_title;Claim Alexander's Empire;;;;;;;;;;;;;
Claim_Alex_desc;Now that we control Constantinople, Cairo, Baghdad, Tehran and Lahore, we can justify this occupation by citing the historical empire of Alexander the Great.;;;;;;;;;;;;;
Mongols_claim_title;More land claims!;;;;;;;;;;;;;
Mongols_claim_desc;More land to the Mongols!;;;;;;;;;;;;;
become_poland_sw_title;Become Poland SW version;;;;;;;;;;;;;
become_poland_sw_desc;Become Poland;;;;;;;;;;;;;
Claim_PNT_title;Claim Pontus;;;;;;;;;;;;;
Claim_PNT_desc;§RGain 3 infamy§! Pontus has a sizeable Greek minority. We can use this as a basis for claiming it.;;;;;;;;;;;;;
Claim_EBS_title;Claim the Eastern Black Sea Coast;;;;;;;;;;;;;
Claim_EBS_desc;§RGain 15 infamy§! The eastern Black Sea coast has many isolated communities of Greek peoples. They need to be incorporated into Anatolia to protect them from foreign oppression.;;;;;;;;;;;;;
Claim_IANT_title;Claim Inner Anatolia;;;;;;;;;;;;;
Claim_IANT_desc;§RGain 10 infamy§! Inner Anatolia has a large number of Greek inhabitants. They need to be liberated from their Ottoman oppressors.;;;;;;;;;;;;;
CHI_form_title;Form China;;;;;;;;;;;;;
CHI_form_desc;§RGain 10 infamy§! We control the lands of China. Why not claim to be the legitimate rulers of all of it?;;;;;;;;;;;;;
FLC_form_title;Unify the Fulani Caliphate;;;;;;;;;;;;;
FLC_form_desc;The Fulani jihad states of Massina, Jallon, Tooro and Sokoto were all originally Muslim revolts against local animist rulers. Now that we, the Tukulor empire, dominate the area, we can call upon this common heritage to unite with them with the goal of forming a common Fulani Caliphate, to impose Sharia law upon western Africa and resist the foreign invaders and continue the everlasting jihad. Allahu Akbar!;;;;;;;;;;;;;
FLC_tolerate_title;Loosen religious policies;;;;;;;;;;;;;
FLC_tolerate_desc;Though our religious hardlinership may have successfully brought our peoples together, it has made us fall behind the rest of the world economically and technologically. If we wish to survive we must embrace tolerance. It is indeed a sad day for Islam.;;;;;;;;;;;;;
FLC_cash_title;Introduce cash crops;;;;;;;;;;;;;
FLC_cash_desc;Significantly increasing our wealth is difficult, since we don't have abundant natural resources such as coal, iron or others. We can, however, just change our agricultural production to more profitable options, such as coffee, cotton and tobacco.;;;;;;;;;;;;;
Claim_CRI_title;Claim the former Crimean Khanate;;;;;;;;;;;;;
Claim_CRI_desc;§RGain 7 infamy§! Not all too long ago, the Crimean Khanate ruled the lands around the entire sea of Azov. Let us reclaim that right.;;;;;;;;;;;;;
Nicobar_AUS_buy_title;Buy the Nicobar islands from the Danish;;;;;;;;;;;;;
Nicobar_AUS_buy_desc;The Danish have no actual colonial presence on the Nicobar islands. This is our chance to peacefully re-establish our failed colony that existed there from 1878-1885.;;;;;;;;;;;;;
Nicobar_AUS_seize_title;Seize the Nicobar islands from the Danish.;;;;;;;;;;;;;
Nicobar_AUS_seize_desc;§RGain 1 infamy§! The Danish have no actual colonial presence on the Nicobar islands. This is our chance to forcefully re-establish our failed colony that existed there from 1878-1885.;;;;;;;;;;;;;
Delagoa_AUS_title;Seize Delagoa Bay;;;;;;;;;;;;;
Delagoa_AUS_desc;§RGain 1 infamy§! From 1778 to 1781, Colonel William Bolts set up an Austrian trading post in Delagoa Bay that outmatched the Portuguese in ivory production. When the post was struck with malaria, the Portuguese used the opportunity to expel our traders. With our newfound naval power we can reclaim this post and transform it into a colony, though Portugal will not like it.;;;;;;;;;;;;;
Rio_de_Oro_sold_AUS_title;Sell Rio de Oro;;;;;;;;;;;;;
Rio_de_Oro_sold_AUS_desc;After losing Havana and Manila, our bank accounts are left agape. After the failures our previous colonization has encountered, many in our administration have suggested ridding ourselves of Rio de Oro. The area is desolate and a drain on our finances to maintain, therefore selling it seems like a good option. Vienna has shown an interest in the area, so we could approach them with the offer of 150.000 pesos for Rio de Oro.;;;;;;;;;;;;;
Rio_de_Oro_sold_KUK_title;Sell Rio de Oro;;;;;;;;;;;;;
Rio_de_Oro_sold_KUK_desc;After losing Havana and Manila, our bank accounts are left agape. After the failures our previous colonization has encountered, many in our administration have suggested ridding ourselves of Rio de Oro. The area is desolate and a drain on our finances to maintain, therefore selling it seems like a good option. Vienna has shown an interest in the area, so we could approach them with the offer of 150.000 pesos for Rio de Oro.;;;;;;;;;;;;;
Claim_JAP_title;Core Japan SW;;;;;;;;;;;;;
Claim_JAP_desc;Get cores on all of Japan in Shattered World;;;;;;;;;;;;;
Claim_QAS_title;Claim greater Qashqai;;;;;;;;;;;;;
Claim_QAS_desc;§RGain 4 infamy§! We need to seize lands to grow stronger. Let us do so.;;;;;;;;;;;;;
treaty_of_la_pointe_title;The first Treaty of La Pointe;;;;;;;;;;;;;
treaty_of_la_pointe_two_title;The second Treaty of La Pointe;;;;;;;;;;;;;
treaty_of_la_pointe_desc;The Great Lakes Indians have informed us that they would be willing to sell us some of their land.;;;;;;;;;;;;;
treaty_of_la_pointe_two_desc;The Great Lakes Indians have informed us that they would be willing to sell us some of their land.;;;;;;;;;;;;;
treaty_of_traverse_des_sioux_desc;The Great Lakes Indians have informed us that they would be willing to sell us some of their land.;;;;;;;;;;;;;
treaty_of_traverse_des_sioux_title;The Treaty of Traverse des Sioux;;;;;;;;;;;;;
treaty_of_washington_title;The Treaty of Washington;;;;;;;;;;;;;
treaty_of_washington_desc;The Great Lakes Indians have informed us that they would be willing to sell us some of their land.;;;;;;;;;;;;;
treaty_of_fort_laramie_title;The Treaty of Fort Laramie;;;;;;;;;;;;;
treaty_of_fort_laramie_desc;We can convince the Great Plains Indians to cede a lot of land to us in exchange for us guaranteeing the rest of their territory will stay undisturbed by white men and a large payment for food sustenance due to the decreased hunting grounds.;;;;;;;;;;;;;
treaty_of_fort_wise_title;The Treaty of Fort Wise;;;;;;;;;;;;;
treaty_of_fort_wise_desc;The southern plains Indians have been constantly bothered by whites in their reservations from the treaty of Fort Laramie and are offering to move to Colorado in exchange for a true guarantee of territorial exclusivity.;;;;;;;;;;;;;
treaty_of_fort_laramie_two_title;The 2nd Treaty of Fort Laramie;;;;;;;;;;;;;
treaty_of_fort_laramie_two_desc;After the failure of the first Treaty of Fort Laramie, separate renegotiations took place with the plains Indians. The Treaty of Medicine Lodge decreased the Dakota Indians' territory even more and promised to keep them undisturbed in their holy lands and last reservation in the Black hills of South Dakota. This never came to pass.;;;;;;;;;;;;;
treaty_of_medicine_lodge_title;The Treaty of Medicine Lodge;;;;;;;;;;;;;
treaty_of_medicine_lodge_desc;After the failure of the first Treaty of Fort Laramie, separate renegotiations took place with the plains Indians. The Treaty of Medicine Lodge decreased the southern plains Indians' territory even more and promised to keep them undisturbed in their smaller reservation. This never came to pass.;;;;;;;;;;;;;
treaty_with_the_blackfoot_title;Treaty with the Blackfoot;;;;;;;;;;;;;
treaty_with_the_blackfoot_desc;Though we have been at peace with the Blackfoot for a long time, they have run out of bison due to our hunting and request monetary aid to get food in return for giving up their current lands and moving to a tiny reservation.;;;;;;;;;;;;;
indian_territory_end_title;Dissolve the Indian territory;;;;;;;;;;;;;
indian_territory_end_desc;The time has come to revoke the autonomy of the Indians in Oklahoma and integrate them into American society.;;;;;;;;;;;;;
build_kra_canal_title;Build the Kra Canal;;;;;;;;;;;;;
build_kra_canal_desc;The trade to East Asia flows almost exclusively through Singapore, enriching Singapore. We can deprive them of this wealth and influence by building a canal across the Kra isthmus in Siam which will allow for easier travel and reroute trade from Singapore.;;;;;;;;;;;;;
build_white_canal_title;Build the White Sea Canal;;;;;;;;;;;;;
build_white_canal_desc;To access the White Sea one presently has to sail through the Danish Straits, around Norway and past the Kola peninsula, encountering many icebergs along the way. We could make this journey a lot faster and less dangerous if we built a canal from lake Onega to the White Sea, since lake Ladoga which flows into the Baltic Sea connects to lake Onega by river.;;;;;;;;;;;;;
build_tehuantepec_canal_title;Build the Tehuantepec Canal;;;;;;;;;;;;;
build_tehuantepec_canal_desc;Plans to connect the Atlantic and Pacific Oceans have been proposed since the 16th century. The Spanish authorities even gave the Viceroyalty of New Spain a permit for the construction of an interoceanic canal in 1814. While the project would be prohibitively expensive and there is a shorter alternative route in Panama, the Isthmus of Tehuantepec will cost fewer human lives due to malaria and other diseases being less prevalent. Additionally, it represents a faster and more efficient route from Mexican and American ports to the Pacific than the lengthier voyage South to Panama. It is also worth noting the socio-economic advantages a canal would bring to the local communities of the isthmus and southern Mexico as a whole.;;;;;;;;;;;;;
reconquer_algeria_title;Reconquer Algeria;;;;;;;;;;;;;
reconquer_algeria_desc;The French began the conquest of Algeria in 1830, using the 'fan affair' as an excuse - During the Napoleonic Wars, France went into Algerian debt supplying itself with Algerian grain, and the Bey of Algeria requested they return said debts. When the French ambassador refused, the bey swatted him with his fan in a fit of rage. Anyways, we must restore our 300+ year rule of Algeria and drive out the French invaders.;;;;;;;;;;;;;
finish_off_dahomey_title;The second Dahomey war;;;;;;;;;;;;;
finish_off_dahomey_desc;The second Dahomey war in which France conquered the rest of Dahomey from Cotonou as a reaction to continued Dahomean raiding raged from 1892 to 1894.;;;;;;;;;;;;;
build_chunnel_title;Build the Channel Tunnel;;;;;;;;;;;;;
build_chunnel_desc;Our engineers propose constructing a tunnel beneath the English channel to connect the British Isles to the continent. §RCosts 12 million§!;;;;;;;;;;;;;
lorraine_fra_nice_title;A peace with Germany;;;;;;;;;;;;;
lorraine_fra_nice_desc;After defeating Germany we must seize our rightful land while upholding the balance of power.;;;;;;;;;;;;;
lorraine_fra_mean_title;A demanding peace with Germany;;;;;;;;;;;;;
lorraine_fra_mean_desc;§RGain 5 infamy§! After thoroughly defeating Germany we must see to it that they never pose a threat to us again.;;;;;;;;;;;;;
lorraine_ger_nice_title;A peace with France;;;;;;;;;;;;;
lorraine_ger_nice_desc;After defeating France we must seize our rightful land while upholding the balance of power.;;;;;;;;;;;;;
lorraine_ger_mean_title;A demanding peace with France;;;;;;;;;;;;;
lorraine_ger_mean_desc;§RGain 5 infamy§! After thoroughly defeating France we must see to it that they never pose a threat to us again.;;;;;;;;;;;;;
refute_ger_lorraine_title;Expel the Germans from Lorraine;;;;;;;;;;;;;
refute_ger_lorraine_desc;After the Germans stole our integral lands in Lorraine, the time has come to expel them from said lands and forever end German claims past Alsace.;;;;;;;;;;;;;
annex_all_title;Option: Annex Everything;;;;;;;;;;;;;
annex_all_desc;Take all the land on earth for testing purposes.;;;;;;;;;;;;;
simplify_minorities_title;Option: Simplify Minorities;;;;;;;;;;;;;
simplify_minorities_desc;§RDo not take this decision with the morecultures submod enabled.§! This decision assimilates provinces with a minority percentage of less than 5% that are also more than 95% primary culture. They instead become 100% primary culture. This reduces population calculation and makes the game run slightly faster, though it removes detail.;;;;;;;;;;;;;
